TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9957  3.30938E+00  3.27124E+00 -6.10369E-01 -2.12354E-01  7.27942E-01  1.12742E+00  3.39983E-01  1.97087E-01  6.87946E-01  2.30147E+00  9.65618E-02  1.00000E+00  1.11016E-02  1.15936E-03  7.89306E-03 -5.16804E-05 -2.95648E-03  7.06914E-03 -2.40690E-03 -1.14000E-03  2.38126E-04  1.17174E-02   -19407.7793678935
        -9956  3.27519E+00  3.22167E+00 -6.07510E-01 -1.96718E-01  7.64391E-01  1.10569E+00  3.24751E-01  2.02769E-01  6.91385E-01  2.30532E+00  9.83278E-02  1.00000E+00  1.18537E-02  1.20667E-03  7.55242E-03 -2.85902E-04 -2.73471E-03  6.82706E-03 -4.42831E-04 -1.00533E-03  4.15022E-04  1.05265E-02   -19327.3381363597
        -9955  3.30046E+00  3.27513E+00 -6.14614E-01 -2.13437E-01  8.00692E-01  1.09298E+00  3.20047E-01  2.07733E-01  7.02024E-01  2.31332E+00  9.96400E-02  1.00000E+00  9.23388E-03  4.98011E-04  8.67431E-03  5.00809E-04 -2.97306E-03  8.04363E-03  3.59899E-04 -9.58022E-04  1.72550E-03  1.19436E-02   -19209.4161187728
        -9954  3.31979E+00  3.23860E+00 -6.15711E-01 -2.03079E-01  7.55825E-01  1.09939E+00  3.30991E-01  2.12140E-01  7.04110E-01  2.31254E+00  9.96400E-02  1.00000E+00  8.98925E-03 -1.20441E-03  9.70953E-03  1.13331E-03 -3.31905E-03  9.34099E-03 -1.35747E-04 -3.34026E-04  9.45449E-04  1.01589E-02   -19203.3180818181
        -9953  3.36210E+00  3.23484E+00 -6.25927E-01 -2.01022E-01  8.13407E-01  1.13332E+00  3.15568E-01  1.98969E-01  7.00898E-01  2.30074E+00  9.82593E-02  1.00000E+00  1.04708E-02 -1.30577E-03  9.64600E-03  8.27376E-04 -3.58730E-03  9.43277E-03 -5.25562E-04  1.16767E-04  1.77947E-03  8.64450E-03   -19175.5799099926
        -9952  3.34536E+00  3.26594E+00 -6.26291E-01 -2.12785E-01  7.60919E-01  1.15866E+00  3.30212E-01  1.86998E-01  7.00108E-01  2.31023E+00  9.81561E-02  1.00000E+00  9.01013E-03 -3.76708E-04  8.58905E-03  4.12394E-04 -2.21533E-03  8.46262E-03 -2.01596E-04  4.79884E-04  1.22992E-03  8.58962E-03   -19218.3124776363
        -9951  3.29726E+00  3.25184E+00 -6.09832E-01 -2.10262E-01  7.75218E-01  1.16162E+00  3.22033E-01  1.81969E-01  6.91598E-01  2.29669E+00  9.81561E-02  1.00000E+00  9.00409E-03 -1.60270E-03  9.40795E-03  1.70947E-03 -3.50555E-03  1.10841E-02 -9.83455E-04 -5.25056E-04  1.77595E-03  9.50825E-03   -19114.3384811761
        -9950  3.30844E+00  3.27575E+00 -6.12458E-01 -2.15524E-01  7.49945E-01  1.21618E+00  3.28983E-01  1.67652E-01  6.85328E-01  2.29153E+00  1.00062E-01  1.00000E+00  1.00668E-02 -4.56198E-04  8.08693E-03  1.00735E-03 -2.01221E-03  1.16179E-02 -3.12654E-04  1.93171E-04  2.97017E-03  1.28276E-02   -19016.3310989536
        -9949  3.32686E+00  3.27689E+00 -6.19156E-01 -2.17732E-01  7.62328E-01  1.19120E+00  3.27640E-01  1.77600E-01  6.71745E-01  2.30172E+00  9.53206E-02  1.00000E+00  1.37182E-02  1.45030E-04  9.26801E-03  6.51832E-04 -2.24254E-03  1.16807E-02 -2.40782E-03 -2.41563E-04  4.16697E-03  1.31539E-02   -19074.4623654518
        -9948  3.32244E+00  3.23016E+00 -6.17613E-01 -2.01246E-01  8.32653E-01  1.13492E+00  3.10400E-01  1.93953E-01  6.89762E-01  2.30483E+00  9.54189E-02  1.00000E+00  1.12707E-02  1.77687E-04  9.36101E-03  1.07868E-04 -1.77880E-03  1.07864E-02 -1.49088E-03 -5.22949E-04  3.82034E-03  1.30671E-02   -19108.7682083968
