TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9964  1.65360E+00  1.55895E+00  7.10086E-01  2.26298E+00  4.55092E-02  1.86511E-01 -3.17390E-02  1.90867E-01 -2.46126E-02  2.82939E-02  1.72566E-01 -5.14187E-02  5.46472E-03 -5.41577E-04  1.14337E-01   -2288.82213426932
        -9963  1.69078E+00  1.50143E+00  7.46408E-01  2.27030E+00  4.75127E-02  2.21463E-01  9.86322E-03  2.06421E-01 -4.05335E-02  9.34590E-03  2.17786E-01 -5.00173E-02 -3.07209E-02  3.49054E-03  1.40874E-01   -2253.96835414120
        -9962  1.63812E+00  1.46871E+00  7.63592E-01  2.26020E+00  5.20725E-02  1.79361E-01  4.02613E-02  3.03224E-01 -5.94214E-03  3.64322E-02  2.01859E-01 -3.39802E-02  1.21454E-02 -6.33424E-03  8.04958E-02   -2253.00160161959
        -9961  1.66638E+00  1.56944E+00  7.94776E-01  2.34609E+00  5.35867E-02  1.71984E-01 -4.37042E-03  2.26695E-01 -2.30966E-03  2.19276E-02  1.90587E-01 -1.95491E-02  4.66689E-03  4.61877E-03  1.21079E-01   -2223.49352199211
        -9960  1.60468E+00  1.45591E+00  6.68470E-01  2.39726E+00  5.23795E-02  1.76892E-01 -4.39380E-03  2.39197E-01 -8.52689E-03  9.08116E-03  1.79183E-01 -4.32362E-02  2.37704E-02  1.79403E-02  1.12480E-01   -2226.49091785344
        -9959  1.72789E+00  1.50907E+00  7.86458E-01  2.32684E+00  4.61690E-02  1.95925E-01  2.27879E-02  2.56122E-01 -1.78274E-02 -1.74361E-02  2.00008E-01 -2.03850E-02 -1.13801E-02  2.73113E-02  1.08097E-01   -2245.06568168316
        -9958  1.63383E+00  1.53499E+00  7.86432E-01  2.34036E+00  4.78450E-02  1.82804E-01  9.23516E-03  3.08261E-01 -1.71186E-02  1.93158E-02  1.42459E-01 -4.20637E-02 -2.51375E-02 -2.69366E-03  1.03691E-01   -2256.45187627152
        -9957  1.64099E+00  1.54881E+00  7.49883E-01  2.33877E+00  5.40959E-02  1.66224E-01 -9.70775E-03  2.18619E-01  7.97674E-03  1.07269E-02  1.48779E-01 -4.77617E-02 -1.10705E-02 -1.31147E-02  1.29709E-01   -2255.24924942416
        -9956  1.56782E+00  1.47809E+00  7.41464E-01  2.35508E+00  5.24686E-02  1.44733E-01 -2.42808E-02  2.99565E-01 -3.19100E-02  4.98027E-02  1.73131E-01 -2.62258E-02  3.19556E-02  2.14937E-02  1.07029E-01   -2229.90684707378
        -9955  1.64914E+00  1.53993E+00  7.70115E-01  2.34012E+00  5.27279E-02  1.83611E-01 -3.43290E-03  2.19427E-01 -8.20564E-03  1.43302E-02  1.21747E-01 -4.35897E-02  3.96075E-02 -8.50772E-03  1.60747E-01   -2213.35853506072
