TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9963  1.66642E+00  1.67514E+00  7.44555E-01  2.27513E+00  7.51676E-02  1.72092E-01 -2.52360E-02  1.50696E-01  3.54203E-02 -3.39886E-02  2.42084E-01 -3.66644E-02  1.61622E-03  7.90286E-02  1.82581E-01   -2216.90580555121
        -9962  1.63520E+00  1.67035E+00  7.24779E-01  2.38106E+00  7.11535E-02  1.59150E-01  1.01877E-02  1.32338E-01 -9.30225E-04 -1.07099E-02  2.15676E-01 -1.18570E-02  3.36187E-03  6.61207E-02  1.31316E-01   -2209.48594282820
        -9961  1.61858E+00  1.59319E+00  7.57381E-01  2.33494E+00  7.16014E-02  2.24423E-01  1.79470E-02  1.23922E-01 -1.67287E-02 -4.54660E-02  1.65856E-01 -3.43478E-02 -1.00377E-02  2.62392E-02  1.36708E-01   -2265.62563622600
        -9960  1.62028E+00  1.65429E+00  7.71601E-01  2.31070E+00  6.50241E-02  1.68270E-01  1.24807E-02  1.30736E-01 -1.93971E-02 -1.59534E-02  1.56792E-01 -1.36228E-02 -2.83908E-02  1.52552E-02  1.09150E-01   -2292.47283328376
        -9959  1.61580E+00  1.63277E+00  7.80820E-01  2.36427E+00  5.50765E-02  2.41961E-01  3.13511E-02  1.40844E-01  5.57792E-02 -4.54467E-03  2.32989E-01 -3.12005E-02 -3.01254E-02 -7.60543E-03  1.45800E-01   -2360.89709014673
        -9958  1.57705E+00  1.53514E+00  7.48142E-01  2.39799E+00  5.03246E-02  2.22735E-01  4.25572E-02  1.10299E-01 -5.45855E-02 -1.63796E-02  2.78175E-01 -4.22451E-02 -5.97625E-03  6.34872E-02  1.45406E-01   -2356.74271330692
        -9957  1.71892E+00  1.56256E+00  7.26304E-01  2.37066E+00  5.44096E-02  2.09152E-01  3.44733E-02  9.02117E-02  7.88594E-03  6.92957E-03  2.10218E-01 -1.64030E-02  1.81976E-02  2.63322E-02  1.22008E-01   -2286.19482592622
        -9956  1.57829E+00  1.58747E+00  7.86999E-01  2.36129E+00  6.42560E-02  2.61331E-01  2.98726E-02  7.78128E-02  3.16277E-02  2.22920E-02  1.92862E-01 -4.41310E-03  1.79708E-02 -1.84139E-02  1.45778E-01   -2328.81564008327
        -9955  1.58058E+00  1.61353E+00  8.16393E-01  2.43512E+00  6.63025E-02  2.10656E-01  1.47892E-02  6.87683E-02  3.24713E-02  2.59848E-02  1.72017E-01 -1.35831E-02  1.46280E-02 -2.00905E-02  1.66886E-01   -2311.74402968500
        -9954  1.56324E+00  1.56460E+00  8.56610E-01  2.38775E+00  6.91138E-02  1.51083E-01  1.29117E-02  1.14941E-01  2.49144E-02  3.80493E-02  2.06131E-01 -3.11277E-02  1.97293E-02 -1.69273E-02  1.14376E-01   -2296.73452513804
        -9953  1.65127E+00  1.62210E+00  8.29073E-01  2.35373E+00  5.99742E-02  1.49934E-01 -2.75720E-02  9.48940E-02  1.41095E-03  3.70613E-02  2.39527E-01 -3.57151E-02  2.49445E-02  9.87770E-03  1.09799E-01   -2342.81896300046
        -9952  1.64960E+00  1.59330E+00  8.30992E-01  2.40375E+00  5.75336E-02  1.55760E-01  1.37630E-02  8.66416E-02 -1.16406E-02  4.31115E-02  2.88123E-01 -3.16948E-02  1.48623E-02  3.89755E-02  1.50595E-01   -2328.74212606805
        -9951  1.65652E+00  1.62781E+00  8.16048E-01  2.45249E+00  5.42736E-02  2.00071E-01  8.23878E-03  1.12880E-01  3.14161E-02  1.25571E-03  2.78339E-01 -8.34196E-04  1.59530E-02  2.32338E-02  1.43210E-01   -2328.86807883190
        -9950  1.62565E+00  1.69127E+00  8.61046E-01  2.36737E+00  5.51024E-02  1.82685E-01 -1.03072E-03  1.26959E-01  9.52604E-03  1.56748E-02  3.03584E-01  1.87798E-02  2.73960E-02  2.86927E-02  1.39333E-01   -2359.39775998539
        -9949  1.69322E+00  1.58525E+00  7.11022E-01  2.40223E+00  4.52294E-02  1.63796E-01 -1.60931E-03  1.52437E-01  1.57670E-02  1.03024E-02  2.51733E-01 -7.10696E-04  3.24301E-02  2.81513E-02  1.35848E-01   -2376.42192462051
        -9948  1.66698E+00  1.57772E+00  7.49919E-01  2.36600E+00  4.56084E-02  2.24811E-01 -2.70419E-02  1.62716E-01  1.77384E-02  1.25816E-02  2.70466E-01  8.39642E-03  1.99290E-02  3.48033E-02  1.42994E-01   -2385.38284175195
        -9947  1.57533E+00  1.51247E+00  7.68982E-01  2.41318E+00  4.11641E-02  1.55819E-01 -8.44554E-04  1.49130E-01  3.96205E-02  1.43549E-02  2.45785E-01  2.55465E-03  1.37845E-02  4.93233E-02  1.73856E-01   -2365.32669418397
        -9946  1.60561E+00  1.48100E+00  8.43932E-01  2.44709E+00  5.51048E-02  1.43795E-01 -1.39746E-02  1.45596E-01  1.94938E-03  3.87344E-02  2.73357E-01  3.81002E-03 -1.33109E-02  5.21038E-02  1.89418E-01   -2323.11144227233
        -9945  1.65193E+00  1.53017E+00  9.24804E-01  2.38343E+00  5.69152E-02  1.27528E-01 -2.88182E-02  1.31063E-01  2.67326E-04  4.52792E-02  2.31644E-01 -5.20699E-02  3.49944E-02  4.12573E-02  1.65914E-01   -2296.79467328369
        -9944  1.57727E+00  1.50075E+00  8.34478E-01  2.32755E+00  5.99659E-02  1.54421E-01  1.73933E-02  1.41863E-01 -3.29630E-02  4.42461E-02  1.99276E-01 -6.54992E-02  3.15300E-02  5.39052E-02  1.79596E-01   -2293.95620040983
        -9943  1.61072E+00  1.45344E+00  7.64891E-01  2.25667E+00  6.94485E-02  2.02173E-01 -1.11778E-02  1.44055E-01 -5.23263E-02  4.35555E-02  1.86462E-01 -4.19122E-02  6.29580E-02  6.28643E-02  1.60559E-01   -2299.74565220257
        -9942  1.63301E+00  1.48914E+00  8.22711E-01  2.33095E+00  5.91108E-02  1.68025E-01  1.60382E-02  9.58094E-02 -3.08003E-02  1.13086E-02  1.92543E-01 -1.64214E-02  1.85023E-02  2.06517E-02  1.52002E-01   -2322.02725630070
