TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -2956  3.17373E+00  2.93336E+01  1.15296E+01 -7.87489E-01  7.86993E-02  2.24661E-02  1.32983E-01 -4.73727E-03  6.96212E-02  5.23724E-02  3.01233E-02  8.93762E-02    5814.45958958472
        -2955  3.18019E+00  2.98192E+01  1.16359E+01 -7.62822E-01  8.49139E-02  2.25878E-02  1.14767E-01 -3.59820E-04  7.22189E-02  3.59585E-02  2.73449E-02  9.05851E-02    5796.93250569615
        -2954  3.18017E+00  2.93000E+01  1.16340E+01 -6.92718E-01  8.08777E-02  2.19410E-02  1.05588E-01 -5.04150E-03  7.53124E-02  2.49485E-02  1.99635E-02  7.75238E-02    5845.05630056530
        -2953  3.14505E+00  2.93000E+01  1.16340E+01 -6.79347E-01  8.09095E-02  2.27915E-02  1.02198E-01 -1.82546E-03  7.54737E-02  3.02900E-02  2.35208E-02  7.56129E-02    5835.98603055194
        -2952  3.10663E+00  3.00061E+01  1.13917E+01 -6.47153E-01  8.35199E-02  2.29005E-02  9.81510E-02  2.40251E-03  6.75776E-02  3.11523E-02  2.17197E-02  8.26954E-02    5714.68678174416
        -2951  3.11503E+00  2.97255E+01  1.15960E+01 -6.73194E-01  8.05904E-02  2.01483E-02  1.06376E-01  7.39555E-03  7.61566E-02  3.86238E-02  2.86266E-02  8.42829E-02    5761.62743175361
        -2950  3.13771E+00  2.92520E+01  1.13663E+01 -7.77784E-01  8.85551E-02  2.17150E-02  1.10766E-01  4.75858E-03  7.53869E-02  3.75685E-02  2.62762E-02  8.18853E-02    5798.29725543444
        -2949  3.15488E+00  2.93792E+01  1.14148E+01 -8.20109E-01  8.89659E-02  2.25747E-02  9.90455E-02  1.03194E-02  6.90702E-02  3.97891E-02  2.58255E-02  8.31077E-02    5831.35903061269
        -2948  3.15084E+00  2.93947E+01  1.14075E+01 -8.24443E-01  8.89477E-02  2.25961E-02  1.18550E-01  1.97486E-02  8.60894E-02  4.09067E-02  3.08459E-02  8.41396E-02    5883.04195006120
        -2947  3.22989E+00  2.93762E+01  1.15064E+01 -8.54354E-01  8.51260E-02  2.21672E-02  9.65916E-02  1.13676E-02  6.78018E-02  3.67905E-02  2.96406E-02  8.84800E-02    5857.45946003333
        -2946  3.24673E+00  2.93855E+01  1.15440E+01 -8.58873E-01  8.25812E-02  2.30694E-02  8.21182E-02  8.92879E-03  7.95380E-02  4.11469E-02  3.31737E-02  1.03308E-01    5805.54047120536
        -2945  3.03241E+00  3.00127E+01  1.16711E+01 -7.66095E-01  8.24114E-02  2.26357E-02  8.49435E-02  7.10065E-03  7.07273E-02  4.36406E-02  2.88542E-02  9.37150E-02    5793.30118654648
        -2944  3.01020E+00  2.99375E+01  1.16753E+01 -7.91820E-01  8.60624E-02  2.20537E-02  8.24726E-02  6.04703E-03  7.62256E-02  3.26422E-02  4.39210E-02  9.79574E-02    5756.63097296057
        -2943  3.02189E+00  2.99172E+01  1.17009E+01 -7.48416E-01  8.31861E-02  2.16687E-02  8.23613E-02  1.22883E-03  5.85214E-02  3.81002E-02  2.70978E-02  9.56158E-02    5774.85809218867
        -2942  3.05288E+00  3.00314E+01  1.16713E+01 -7.41696E-01  8.46154E-02  2.32717E-02  7.93777E-02 -1.06104E-03  6.51098E-02  2.92803E-02  2.37592E-02  7.64484E-02    5823.13075884655
        -2941  3.08031E+00  2.96961E+01  1.14002E+01 -6.84579E-01  7.30338E-02  2.33609E-02  9.60987E-02  4.04528E-03  6.99141E-02  4.74516E-02  2.94636E-02  9.05555E-02    5815.06967661979
        -2940  3.13981E+00  2.96314E+01  1.14971E+01 -6.87161E-01  7.34195E-02  2.22575E-02  9.20530E-02  2.43660E-03  7.10964E-02  3.82799E-02  3.50867E-02  8.90504E-02    5746.56493804985
        -2939  3.14680E+00  2.94757E+01  1.14906E+01 -6.93135E-01  7.46861E-02  2.27137E-02  9.29460E-02  2.44001E-03  7.75784E-02  3.93262E-02  3.14717E-02  8.98052E-02    5889.84407524792
        -2938  3.17644E+00  3.00147E+01  1.12150E+01 -7.10743E-01  8.20203E-02  2.29706E-02  1.04035E-01  6.13213E-03  7.66675E-02  3.98903E-02  2.47774E-02  8.39971E-02    5808.99947121681
        -2937  3.16796E+00  2.96411E+01  1.15243E+01 -7.19040E-01  8.13661E-02  2.28553E-02  1.06994E-01  4.16327E-03  7.73432E-02  4.67762E-02  3.98414E-02  9.98200E-02    5803.93712101464
        -2936  3.09840E+00  3.01043E+01  1.16236E+01 -7.06326E-01  8.55240E-02  2.20618E-02  8.60280E-02 -5.07551E-03  7.41073E-02  3.05438E-02  2.71564E-02  8.39892E-02    5688.17933956614
        -2935  3.08429E+00  2.96855E+01  1.16007E+01 -7.16134E-01  8.57785E-02  2.31677E-02  1.01034E-01 -1.22789E-03  7.18620E-02  4.42948E-02  3.10372E-02  1.02619E-01    5763.14101745559
        -2934  3.06933E+00  2.96810E+01  1.16055E+01 -7.15522E-01  8.49926E-02  2.18867E-02  9.51896E-02  7.77642E-03  6.87304E-02  4.48324E-02  3.21741E-02  9.72775E-02    5711.66726625067
        -2933  3.07107E+00  2.97872E+01  1.16336E+01 -7.11852E-01  8.46415E-02  2.34156E-02  9.69438E-02  4.19599E-03  7.04405E-02  3.92068E-02  2.37686E-02  7.97634E-02    5790.64642510750
        -2932  3.02123E+00  3.03635E+01  1.15800E+01 -8.38485E-01  8.62495E-02  2.21420E-02  1.07011E-01  4.46351E-03  7.01643E-02  4.49009E-02  2.31787E-02  7.68185E-02    5791.46389992488
        -2931  3.01341E+00  3.03352E+01  1.15770E+01 -8.31786E-01  8.51481E-02  2.20956E-02  1.03744E-01  4.67398E-03  7.05177E-02  4.29210E-02  2.58883E-02  7.95261E-02    5730.48971036048
