TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -2958  1.11702E+00  3.39299E+00  2.45548E+00 -7.48737E-01  8.99658E-02  2.24622E-02  8.54498E-02  1.09742E-02  7.69812E-02  3.69300E-02  2.67895E-02  8.56000E-02    5782.31869265373
        -2957  1.11434E+00  3.37557E+00  2.41710E+00 -7.13874E-01  8.46596E-02  2.24151E-02  1.16628E-01  1.35622E-02  7.16547E-02  5.96108E-02  3.66610E-02  9.90497E-02    5785.51753492032
        -2956  1.14833E+00  3.39625E+00  2.46104E+00 -6.69215E-01  7.88897E-02  2.27872E-02  9.14064E-02  1.39289E-02  7.89794E-02  4.58235E-02  3.16796E-02  8.64533E-02    5712.59365870060
        -2955  1.12641E+00  3.35819E+00  2.41637E+00 -5.05958E-01  7.47032E-02  2.19406E-02  8.10225E-02  9.57214E-03  8.83755E-02  3.54232E-02  3.58397E-02  8.59216E-02    5809.46728208771
        -2954  1.13944E+00  3.36587E+00  2.41407E+00 -5.05958E-01  7.47032E-02  2.21137E-02  9.10050E-02  6.48563E-03  7.09230E-02  4.38791E-02  2.77995E-02  7.87621E-02    5780.84500025512
        -2953  1.13384E+00  3.38930E+00  2.40917E+00 -4.53892E-01  7.36458E-02  2.20259E-02  8.33748E-02  2.63931E-03  7.52114E-02  3.18734E-02  3.59363E-02  8.26149E-02    5862.45943596360
        -2952  1.14433E+00  3.40563E+00  2.44033E+00 -4.71257E-01  7.09544E-02  2.40418E-02  8.22831E-02  2.78247E-03  7.80612E-02  3.08678E-02  3.16369E-02  7.98465E-02    5868.26543737825
        -2951  1.13126E+00  3.38241E+00  2.42253E+00 -7.60046E-01  8.32048E-02  2.30362E-02  1.00606E-01 -2.06755E-03  6.73489E-02  4.55267E-02  2.86261E-02  9.13636E-02    5803.78324944572
        -2950  1.12040E+00  3.40633E+00  2.44144E+00 -6.97338E-01  7.84958E-02  2.25253E-02  1.05990E-01 -6.68570E-03  7.76878E-02  4.03277E-02  2.99125E-02  9.46263E-02    5785.38073330504
        -2949  1.15524E+00  3.36829E+00  2.43001E+00 -6.08052E-01  8.33957E-02  2.25090E-02  1.02497E-01  2.43177E-03  7.93680E-02  2.81168E-02  2.68071E-02  7.25210E-02    5807.04000920642
        -2948  1.14391E+00  3.37790E+00  2.43876E+00 -6.83082E-01  8.13849E-02  2.10243E-02  1.02631E-01 -3.80409E-03  7.19981E-02  3.69222E-02  2.51005E-02  8.80778E-02    5769.43505838567
        -2947  1.10571E+00  3.38025E+00  2.41503E+00 -7.83644E-01  9.03968E-02  2.24987E-02  1.04585E-01  7.25220E-03  9.66005E-02  3.44060E-02  4.14832E-02  9.07617E-02    5765.11766475120
        -2946  1.15138E+00  3.38339E+00  2.41915E+00 -7.31863E-01  9.04335E-02  2.19106E-02  9.30428E-02  6.51612E-03  8.57251E-02  3.71085E-02  3.52158E-02  8.71385E-02    5793.76884627401
        -2945  1.12023E+00  3.38665E+00  2.42514E+00 -6.88013E-01  8.87127E-02  2.22851E-02  8.60664E-02  6.42846E-03  6.89718E-02  3.77135E-02  2.81244E-02  9.26739E-02    5802.58822853195
        -2944  1.12550E+00  3.41468E+00  2.42172E+00 -5.61268E-01  7.55263E-02  2.23573E-02  8.50532E-02  8.85544E-04  7.31864E-02  2.46972E-02  2.81686E-02  8.53244E-02    5798.24325192723
        -2943  1.13748E+00  3.39456E+00  2.44332E+00 -6.12660E-01  7.96042E-02  2.38779E-02  8.56583E-02 -5.88603E-04  9.08538E-02  1.65611E-02  3.93961E-02  8.75274E-02    5852.44683672010
        -2942  1.12363E+00  3.38825E+00  2.44305E+00 -5.32598E-01  7.91869E-02  2.34341E-02  8.58638E-02 -2.62014E-03  7.85741E-02  3.06185E-02  3.05971E-02  1.00114E-01    5827.58264694833
        -2941  1.09792E+00  3.38749E+00  2.43998E+00 -5.24151E-01  8.08353E-02  2.37486E-02  1.08454E-01  7.01249E-03  7.32953E-02  3.34072E-02  2.27656E-02  9.47571E-02    5895.60225116308
        -2940  1.10518E+00  3.38614E+00  2.43555E+00 -5.29910E-01  7.92997E-02  2.25578E-02  9.52839E-02  1.06384E-02  7.96580E-02  4.00570E-02  4.04427E-02  9.58958E-02    5710.22426823178
        -2939  1.13576E+00  3.38969E+00  2.45326E+00 -6.44462E-01  8.15851E-02  2.25850E-02  9.23008E-02  5.58325E-03  7.54406E-02  2.94798E-02  1.72315E-02  8.14930E-02    5775.61485713383
        -2938  1.14415E+00  3.35698E+00  2.42935E+00 -5.04539E-01  7.48469E-02  2.18043E-02  9.76288E-02 -2.80155E-03  6.46122E-02  3.79638E-02  2.16796E-02  8.94159E-02    5735.13913062705
        -2937  1.10621E+00  3.38974E+00  2.43351E+00 -4.30630E-01  7.24871E-02  2.33240E-02  7.92175E-02 -2.97477E-03  7.38520E-02  2.16236E-02  3.04611E-02  8.17419E-02    5828.30682471665
        -2936  1.12856E+00  3.37065E+00  2.44339E+00 -7.04661E-01  9.09983E-02  2.33022E-02  8.47494E-02  2.52509E-03  7.66346E-02  3.70782E-02  2.97351E-02  8.71247E-02    5752.26328249944
        -2935  1.12671E+00  3.38322E+00  2.44111E+00 -6.96323E-01  9.06849E-02  2.23404E-02  8.14408E-02 -1.93455E-03  7.52526E-02  3.84279E-02  2.39602E-02  8.70950E-02    5762.90354000255
        -2934  1.13066E+00  3.40961E+00  2.43140E+00 -6.65829E-01  8.37537E-02  2.30957E-02  8.17531E-02 -1.17176E-03  7.50922E-02  3.86818E-02  3.24629E-02  8.68220E-02    5808.69574396729
        -2933  1.12569E+00  3.38852E+00  2.46112E+00 -5.87761E-01  7.90828E-02  2.25970E-02  9.16938E-02 -6.65467E-03  7.47708E-02  3.59224E-02  2.16286E-02  8.05698E-02    5798.80112315176
        -2932  1.14192E+00  3.36984E+00  2.43132E+00 -6.05450E-01  7.23963E-02  2.39282E-02  8.56809E-02 -4.86760E-04  8.11515E-02  3.14166E-02  3.87419E-02  9.00140E-02    5842.38837969824
        -2931  1.14242E+00  3.40457E+00  2.44274E+00 -7.79673E-01  8.05343E-02  2.33861E-02  9.22203E-02  1.62929E-02  7.55751E-02  4.87057E-02  3.85533E-02  9.56334E-02    5782.47701045697
        -2930  1.13019E+00  3.40837E+00  2.43346E+00 -7.75983E-01  9.15039E-02  2.32749E-02  9.18561E-02  2.23519E-04  7.98761E-02  5.14170E-02  2.86086E-02  8.76558E-02    5841.69508393943
